type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,sound_1.stopped,dot.stopped,thanks.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.004796100009116344,0.009099600007175468,0.009099600007175468,24.127904500011937,space,24.10344749999058,None,,,,,,,,,,,,,,,,,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,29,green,blue,word,z,800,2000,0,0,0,z,1,0.791101399998297,None,0,0,0,28,24.273739200012642,,,,,,,,,24.26887080000597,24.273739200012642,24.273739200012642,0.14089100000273902,24.338642500006245,24.338642500006245,25.073617000001832,z,1,0.791101399998297,None,3.1569772636081153,25.074196200002916,25.088320200011367,28.25366080000822,28.22169120000035,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,14,yellow,blue,word,z,800,2000,1,1,0,z,1,0.6634057000046596,None,0,1,1,13,28.25366080000822,,,,,,,,,28.248512000005576,28.25366080000822,28.25366080000822,0.026753899990580976,28.43711300000723,28.43711300000723,28.92217210000672,z,1,0.6634057000046596,None,5.319107110734817,28.92271010001423,28.937317900010385,34.2651360000018,34.23584400000982,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,12,yellow,yellow,word,m,800,2000,2,2,0,m,1,0.761186900010216,None,0,2,2,11,34.2651360000018,,,,,,,,,34.25996300000406,34.2651360000018,34.2651360000018,0.024256499993498437,34.43522310000844,34.43522310000844,35.03657120000571,m,1,0.761186900010216,None,3.9659881689451884,35.03698110001278,35.05182340000465,39.03620890001184,39.001234400013345,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,9,red,blue,word,z,800,2000,3,3,0,z,1,0.7854469000012614,None,0,3,3,8,39.03620890001184,,,,,,,,,39.03171400001156,39.03620890001184,39.03620890001184,0.030525999987730756,39.217057300003944,39.217057300003944,39.835115900001256,z,1,0.7854469000012614,None,2.6385281078471543,39.83563280000817,39.850018800003454,42.49657410000509,42.46668140000838,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,52,red,green,word,z,800,2000,4,4,0,z,1,0.6419333999947412,None,0,4,4,51,42.49657410000509,,,,,,,,,42.491881699999794,42.49657410000509,42.49657410000509,0.02522809999936726,42.68233490000421,42.68233490000421,43.150981700004195,z,1,0.6419333999947412,None,5.018509870342461,43.15192370000295,43.165602300010505,48.19471200001135,48.165190300001996,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,40,yellow,yellow,word,m,800,2000,5,5,0,m,1,0.6017252000019653,None,0,5,5,39,48.19471200001135,,,,,,,,,48.18919110001298,48.19471200001135,48.19471200001135,0.023871800003689714,48.38087730000552,48.38087730000552,48.79923060000874,m,1,0.6017252000019653,None,2.8570468135603884,48.799803200003225,48.81355350000376,51.6740725000127,51.64693110001099,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,54,green,green,word,m,800,2000,6,6,0,z,0,1.2549330000038026,None,0,6,6,53,51.6740725000127,,,,,,,,,51.67004350000934,51.6740725000127,51.6740725000127,0.023015200000372715,51.86244790001365,51.86244790001365,52.93037010000262,z,0,1.2549330000038026,None,5.455979248918184,52.930733600005624,52.94559320001281,58.42625870001211,58.37983050000912,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,13,purple,red,word,z,800,2000,7,7,0,z,1,1.1240774000034435,None,0,7,7,12,58.42625870001211,,,,,,,,,58.419603400005144,58.42625870001211,58.42625870001211,0.03972970000177156,58.59355400000641,58.59355400000641,59.561343200010015,z,1,1.1240774000034435,None,1.846428933579464,59.56172070000321,59.57647670000733,61.43592100001115,61.39343320000626,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,19,green,red,word,z,800,2000,8,8,0,z,1,1.4535389000084251,None,0,8,8,18,61.43592100001115,,,,,,,,,61.42863950000901,61.43592100001115,61.43592100001115,0.03524910000851378,61.609039600007236,61.609039600007236,62.894373700008146,z,1,1.4535389000084251,None,1.817862539658483,62.89485640000203,62.908807600004366,64.73485370000708,64.70946510000795,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
