type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,fixation_control.started,dot_control.started,dot_control.stopped,fixation_control.stopped,trial.started,press.started,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0024099000002024695,0.006356999991112389,0.006356999991112389,24.269371699992917,space,24.248184900003253,None,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.269754799999646,24.28158579999581,84.39451919999556,84.26180519998888,,,,,,,,,,,,,,,,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,24,blue,green,word,z,800,2000,0,0,0,z,1,1.6330768999905558,None,0,0,0,23,84.39451919999556,,,,,,,,,,,,,84.39008519999334,84.39451919999556,84.39451919999556,84.47769249998964,84.47769249998964,86.02868209998996,z,1,1.6330768999905558,None,3.4568163709499844,86.02907109999796,86.04381019998982,89.49253789999057,89.4767606999958,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,33,yellow,green,word,z,800,2000,1,1,0,m,0,1.2053299999970477,None,0,1,1,32,89.49253789999057,,,,,,,,,,,,,89.48548619999201,89.49253789999057,89.49253789999057,89.67597319999186,89.67597319999186,90.71029489999637,m,0,1.2053299999970477,None,4.576053771536058,90.71073169998999,90.72586199999205,95.29046419999213,95.27471349999541,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,consistent,54,green,green,word,m,800,2000,2,2,0,m,1,0.7779150999995181,None,0,2,2,53,95.29046419999213,,,,,,,,,,,,,95.2801380000019,95.29046419999213,95.29046419999213,95.47398879998946,95.47398879998946,96.0744643999933,m,1,0.7779150999995181,None,5.412842833683566,96.0748317999969,96.090323299999,101.48833749999176,101.47242539998842,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,58,yellow,red,word,z,800,2000,3,3,0,z,1,1.1989872999984073,None,0,3,3,57,101.48833749999176,,,,,,,,,,,,,101.47518129998934,101.48833749999176,101.48833749999176,101.6723895999894,101.6723895999894,102.68899569999485,z,1,1.1989872999984073,None,5.153920184031333,102.6894014999998,102.7046374999918,107.85308799998893,107.83717869999236,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,consistent,28,yellow,yellow,word,m,800,2000,4,4,0,m,1,1.1213396999955876,None,0,4,4,27,107.85308799998893,,,,,,,,,,,,,107.83802599999763,107.85308799998893,107.85308799998893,108.05289729998913,108.05289729998913,108.98717969999416,m,1,1.1213396999955876,None,2.31884861427278,108.98755330000131,109.00248819999979,111.31836749998911,111.30233520000183,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,39,red,yellow,word,z,800,2000,5,5,0,z,1,0.9829995999898529,None,0,5,5,38,111.31836749998911,,,,,,,,,,,,,111.30688079999527,111.31836749998911,111.31836749998911,111.50194989999,111.50194989999,112.3023494999943,z,1,0.9829995999898529,None,5.2231196255360555,112.30272589999367,112.31808379999711,117.53308419999667,117.51777330000186,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,3,blue,red,word,z,800,2000,6,6,0,z,1,1.3449931999930413,None,0,6,6,2,117.53308419999667,,,,,,,,,,,,,117.52214509999612,117.53308419999667,117.53308419999667,117.73282009999093,117.73282009999093,118.8834790999972,z,1,1.3449931999930413,None,3.208062664284265,118.8839328999893,118.8993776999996,122.0981763000018,122.08208310000191,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,consistent,45,red,red,word,m,800,2000,7,7,0,m,1,1.1181547000014689,None,0,7,7,44,122.0981763000018,,,,,,,,,,,,,122.08589249999204,122.0981763000018,122.0981763000018,122.2981310999894,122.2981310999894,123.23184279999987,m,1,1.1181547000014689,None,3.517020674159239,123.23218120000092,123.24792889998935,126.76329269999405,126.74750729999505,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,consistent,47,blue,blue,word,m,800,2000,8,8,0,m,1,1.0676423999975668,None,0,8,8,46,126.76329269999405,,,,,,,,,,,,,126.74982669999008,126.76329269999405,126.76329269999405,126.96375999999873,126.96375999999873,127.84821519999241,m,1,1.0676423999975668,None,2.377912192890902,127.84868850000203,127.8627853999933,130.22852350000176,130.21259250000003,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,inconsistent,37,red,green,word,z,800,2000,9,9,0,z,1,1.1380176999955438,None,0,9,9,36,130.22852350000176,,,,,,,,,,,,,130.2155203000002,130.22852350000176,130.22852350000176,130.41212639999867,130.41212639999867,131.3798448000016,z,1,1.1380176999955438,None,5.0644792701336465,131.3804267999949,131.39500219999172,136.4600214999955,136.44435919998796,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
test,consistent,23,green,green,word,m,800,2000,10,10,0,m,1,1.2112208000035025,None,0,10,10,22,136.4600214999955,,,,,,,,,,,,,136.4472592999955,136.4600214999955,136.4600214999955,136.64306589998887,136.64306589998887,137.67720619999454,m,1,1.2112208000035025,None,5.884185514918879,137.67757429998892,137.69263320000027,143.57399319999968,143.55808750000142,,,,,1234,001,2025-03-14_15h55.45.256,pleaseworkstroopcontrol,2024.2.4,59.96861242661847,2025-03-14 15h56.07.240309 -0700,
